Size;Real Time;Depth;Average Depth
2;0.0;2.0;1.0
3;0.0;3.0;2.0
4;0.0;3.0;1.3333333333333333
5;0.0;3.066666666666667;1.3333333333333333
6;0.0;3.533333333333333;1.4666666666666666
7;0.0;3.8666666666666667;1.4666666666666666
8;0.0;3.6666666666666665;1.2666666666666666
9;0.0;3.8666666666666667;1.2
10;0.0;4.466666666666667;1.5333333333333334
11;0.0;4.2;1.2666666666666666
12;0.0;4.0;1.1333333333333333
13;0.0;4.8;1.3333333333333333
14;0.0;4.333333333333333;1.0666666666666667
15;0.0;4.733333333333333;1.2666666666666666
16;0.0;4.733333333333333;1.2
17;0.2;4.6;1.1333333333333333
18;0.0;4.933333333333334;1.1333333333333333
19;0.6666666666666666;5.066666666666666;1.2666666666666666
20;1.8;4.866666666666666;1.2666666666666666
21;4.6;5.2;1.2
22;13.933333333333334;4.866666666666666;1.0666666666666667
